商品编号,商品分类,名称,商品型号,品牌,封装规格,购买数量,商品单价(元),金额(元)
C527440,模拟前端(AFE),ADS1298R低功耗8通道24bit 生物电bit 测量模拟前端 编带,ADS1298IPAGR,TI(德州仪器),TQFP-64(10x10),5.0,73.45,367.25
C130340,DC-DC电源芯片,升压型 4.5A 2.5V~5.5V 编带,AP2005SPER,chipown(芯朋微电子),ESOP-8,5.0,1.4782,7.39
C48543196,比较器,低功耗双电压比较器 编带,LM393ADR-TP,TECH PUBLIC(台舟),SOP-8,10.0,0.281675,2.82
C478383,电池管理,500mA单节锂离子电池线性充电器 编带,ME4054BM5G-N,MICRONE(南京微盟),SOT-23-5,10.0,0.3033,3.03
C84681,USB转换芯片,USB转串口芯片 管装,CH340C,WCH(南京沁恒),SOP-16,1.0,3.6,3.6
C3021084,线性稳压器(LDO),3.3V 800mA 5.5V 编带,XC6210B332MR,TECH PUBLIC(台舟),SOT-23-5,5.0,1.2059,6.03
C701341,WiFi模块,不带固件 通用型Wi-Fi+BT+BLE MCU模组 编带,ESP32-WROOM-32E-N4,ESPRESSIF(乐鑫),"SMD,25.5x18mm",1.0,23.46,23.46
C514020,滑动开关,滑动开关9.1*3.5*4.0mm贴片侧拨单排三脚二档 编带,TA-3525-A3,Yuandi(元迪),"SMD-3P,9.1x3.5mm",5.0,1.07236,5.36
C2906367,轻触开关,4.5*4.5*3.8mm 卧贴 轻触开关 编带,TS4538B3JTP 250gf 121,SHOU HAN(首韩),"SMD-3P,4.5x4.5mm",10.0,0.44954,4.5
C25779,贴片电阻,33kΩ ±1% 62.5mW 厚膜电阻 编带,0402WGF3302TCE,UNI-ROYAL(厚声),0402,100.0,0.0048,0.48
C2906999,贴片电阻,180kΩ ±1% 100mW 厚膜电阻 编带,FRC0603F1803TS,FOJAN(富捷),0603,100.0,0.00608,0.61
C2906995,贴片电阻,15kΩ ±1% 100mW 厚膜电阻 编带,FRC0603F1502TS,FOJAN(富捷),0603,100.0,0.006555,0.66
C2933082,贴片电阻,24kΩ ±1% 62.5mW 厚膜电阻 编带,FRC0402F2402TS,FOJAN(富捷),0402,100.0,0.0038,0.38
C23206,贴片电阻,56kΩ ±1% 100mW 厚膜电阻 编带,0603WAF5602T5E,UNI-ROYAL(厚声),0603,100.0,0.009306,0.93
C394037,场效应管(MOSFET),1个P沟道 耐压:30V 电流:4.2A 编带,JMTL3401A,JJW(捷捷微),SOT-23,10.0,0.3157,3.16
C916392,三极管(BJT),hFE：200-350 NPN 电流:1.5A 电压:25V 编带,SS8050,JSMSEMI(杰盛微),SOT-23,50.0,0.0477,2.39
C41432291,场效应管(MOSFET),"P沟道 MOSFET,电流:-12A,耐压:-30V 编带",AO4407A,KUU,SOP-8,5.0,0.5177,2.59
C177246,功率电感,4.7uH ±20% 5A 编带,FXL0530-4R7-M,cjiang(长江微电),"SMD,5.4x5.2mm",5.0,0.699016,3.5
C2905024,线对板针座,1x2P 间距:2.5mm 卧贴 系列:XH 编带,XH-2PWB,DEALON(德艺隆),"SMD,P=2.5mm,卧贴",10.0,0.448685,4.49
C5346829,静电和浪涌保护(TVS/ESD),单向ESD 5V截止 峰值浪涌电流：16A@8/20us 编带,CESD5V0D3(UMW),UMW(友台半导体),SOD-323,20.0,0.1282,2.56
C18199179,肖特基二极管,电压:40V 电流:5A 编带,SS54F,R+O(宏嘉诚),SMAF,1.0,0.2723,0.27
C19103846,贴片电容(MLCC),47uF ±20% 10V 编带,HGC0805R5476M100NSLJ,Chinocera(华瓷),0805,5.0,0.5834,2.92
C2915308,贴片圆螺母,雄和远景，电路板表贴圆螺母柱，M3Xφ5.56X3+1.53，铜镀锡，编带装 编带,SMTSO3030CTJ,Sinhoo(雄和远景),-,5.0,0.419734,2.1
C78323,气体放电管(GDT),90V 2kA 2端 1812GDT 编带,4532-091-LF,Brightking(君耀电子),1812,15.0,0.6723,10.08
